SiteCode,date collected (yyyy-mm-dd),time collected (hhmm),DateTime,SampleCode,pH (pH),EC (uS/cm),acid-neutralizing capacity (ueq/L),acidity (ueq/L),alkalinity (ueq/L),H+ (ueq/L),NH4+ (ueq/L),Ca++ (ueq/L),Mg++ (ueq/L),Na+ (ueq/L),K+ (ueq/L),Cl- (ueq/L),NO3- (ueq/L),SO4-- (ueq/L),PO4--- (ueq/L),Si (umol/L),cation sum,anion sum,charge balance,total N (umol/L),total dissolved N (umol/L),particulate N (umol/L),dissolved org N (umol/L),inorganic N (umol/L),total P (umol/L),total dissolved P (umol/L),particulate P (umol/L),dissolved org P (umol/L),inorganic P (umol/L),delta 18O (per mill),delta 18O std dev,delta D (per mill),delta D std dev,D excess (per mill),tritium (TU),tritium std dev,total org C (mg/L),dissolved org C (mg/L),particulate org C (mg/L)
GREEN LAKE 5,8/28/2003,930,,1500,6.46,14.65,41.57,NP,NP,0.35,2.28,90.52,18.35,16.36,4.53,1.81,18.6,64.19,0,31.56,132.38,126.16,0.02,22.05,21.82,0.22,0.94,20.88,0.09,0.05,0.04,0.05,0,-15.37,NP,NP,NP,NP,NP,NP,0.64,0.63,0.01
GREEN LAKE 1,6/6/1985,DNS,,1,6.52,39.3,270.44,NP,NP,0.3,NP,213.07,49.36,45.24,11.51,6.77,16.8817,109.305,NP,31.616,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,6/6/1985,DNS,,2,6.86,43.5,295.02,NP,NP,0.14,NP,263.47,30.44,40.89,9.97,3.949,17.0293,102.018,NP,31.283,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,6/13/1985,DNS,,3,6.77,42.2,274.7,NP,NP,0.17,NP,232.53,27.97,33.06,8.69,4.231,17.8488,101.185,NP,35.942,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,6/20/1985,DNS,,4,6.6,37.5,265.68,NP,NP,0.25,NP,230.54,26.32,34.37,8.18,4.796,15.8654,99.936,NP,62.899,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,6/27/1985,DNS,,5,6.32,38.1,232.74,NP,NP,0.48,NP,211.58,25.5,33.06,7.67,5.36,17.7996,103.475,NP,35.277,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,7/2/1985,DNS,,6,6.27,40.7,218.81,NP,NP,0.54,NP,208.08,26.32,35.67,9.46,6.206,14.997,96.605,NP,33.446,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,7/4/1985,DNS,,7,6.21,39.1,247.82,NP,NP,0.62,NP,197.1,23.86,28.71,6.65,4.796,10.8829,89.526,NP,31.949,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,7/8/1985,DNS,,8,6.68,40.6,267.16,NP,NP,0.21,NP,213.57,27.97,36.54,9.46,5.642,13.6855,98.479,NP,41.766,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,7/11/1985,DNS,,9,6.52,40.8,258.96,NP,NP,0.3,NP,219.06,27.15,34.8,8.69,3.949,15.3574,101.602,NP,30.784,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,7/16/1985,DNS,,10,6.58,40.8,268.3,NP,NP,0.26,NP,224.55,27.97,35.23,8.44,4.796,11.5385,95.772,NP,30.95,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,7/18/1985,DNS,,11,6.45,43.2,257.81,NP,NP,0.35,NP,223.55,26.32,43.06,11.25,12.977,10.5388,101.81,NP,27.955,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,7/22/1985,DNS,,12,6.6,42.7,266.67,NP,NP,0.25,NP,222.06,27.97,36.1,8.95,4.514,15.5868,112.844,NP,33.779,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,7/25/1985,DNS,,13,6.63,41.6,265.68,NP,NP,0.23,NP,220.06,27.15,38.72,11.25,5.078,12.0957,101.81,NP,31.782,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,7/29/1985,DNS,,14,6.64,41.7,261.75,NP,NP,0.23,NP,235.53,28.79,40.02,9.97,3.949,11.3091,100.561,NP,50.419,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,8/1/1985,DNS,,15,6.87,43.6,263.72,NP,NP,0.13,NP,225.05,29.61,42.63,12.02,7.899,11.1123,87.652,NP,46.925,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,8/8/1985,DNS,,16,6.62,44.8,274.7,NP,NP,0.24,NP,231.04,30.44,42.63,12.79,6.206,14.7018,93.69,NP,56.077,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,8/15/1985,DNS,,17,7.11,42.2,283.71,NP,NP,0.08,NP,228.04,27.97,43.06,11,8.181,11.3091,87.444,NP,36.608,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,8/22/1985,DNS,,18,6.66,42.4,275.68,NP,NP,0.22,NP,230.04,30.44,40.89,8.95,3.667,10.3749,120.964,NP,31.117,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
GREEN LAKE 1,8/29/1985,DNS,,19,6.96,43.8,317.64,NP,NP,0.11,NP,236.53,28.79,44.37,9.97,8.463,8.26051,123.254,NP,44.762,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
