DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,pH,EC,TIC,TOC,TN,F-,Cl-,NO2-,NO3-,SO4,PO4,Na23,Mg24,Al27,Si28,K39,Ca40,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,Y89,Cd111,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Pb208,SamplingNote
MST,,,,,pH,uS/cm,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,
(Detection limit),,,,,,,0.5,3.5,0.7,1.26,1.02,0.66,1.42,1.14,3.03,0,0,0,0.1,0.7,0.4,0.001,0.001,0.008,0.001,0.136,0.002,0.022,0.07,0.025,0.05,0.08,0.04,0.25,0.26,0.09,0.36,0.04,0.17,0.06,0.1,0.04,0.08,0.03,0.041,
(Lab Method),,,,,PH_EC1,PH_EC1,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,
2/2/2009,MG_G_OUT,MG-15,GRAB,SW,6.7,-9999,2.32,5.85,1.15,-9999,14.29,0.69,0.1,3.81,0.04,4040.5,710.9,1303.3,156567.7,1062.7,1868.7,0.532,3.669,361.924,0.281,1.293,12.733,16.943,829.117,0.042,507.295,1704.352,153.392,625.597,164.42,33.485,179.458,32.182,184.471,35.09,95.845,15.439,90.732,14.236,1.203,
2/9/2009,MG_G_OUT,MG-26,GRAB,SW,6.6,-9999,2.4,4.67,0.96,-9999,15.99,0.53,0.5,3.83,-9999,4057,690.5,991.4,152136.2,631.1,1724.2,0.629,3.291,318.043,0.332,0.655,5.012,3.352,677.351,0.019,405.605,1318.469,120.776,504.239,128.828,27.778,145.937,27.778,143.925,28.785,81.423,12.581,79.41,11.574,0.533,
2/16/2009,MG_G_OUT,MG-37,GRAB,SW,6.7,-9999,-9999,10.11,0.69,-9999,49.69,-9999,-9999,14.09,0.12,3378.6,640.5,1862.8,138583.6,618.2,1487,0.821,5.86,464.177,0.256,0.626,7.874,3.071,1308.96,0.021,834.714,2587.713,240.647,1016.961,264.813,54.07,272.868,50.647,272.868,51.251,145.999,21.245,140.965,21.145,0.967,
2/23/2009,MG_G_OUT,MG-52,GRAB,SW,6.6,-9999,0.82,13.35,0.86,-9999,46.47,-9999,-9999,11.61,-9999,2927.7,544.9,1715.1,130684.7,651.8,1408.2,0.687,5.731,521.602,0.243,0.634,6.77,3.592,1200.592,0.022,800.058,2270.027,234.065,966.527,244.154,50.041,264.332,48.73,256.261,44.997,134.184,18.766,122.077,18.362,0.787,
3/2/2009,MG_G_OUT,MG-67,GRAB,SW,6.6,-9999,1.38,7.85,0.26,-9999,57.39,-9999,-9999,16.15,-9999,2634.5,963,1537.6,324017.1,693.4,2331.7,0.51,2.633,479.381,0.175,0.485,4.241,1.99,883.388,0.003,510.536,1587.887,156.779,644.2,187.933,36.079,173.864,32.863,185.924,33.667,95.072,13.969,85.726,14.673,0.442,
3/9/2009,MG_G_OUT,MG-81,GRAB,SW,6.7,-9999,1.43,7.78,0.54,-9999,72.52,-9999,-9999,17.83,-9999,15173.4,2029.9,1327.3,312694.2,721,30531.3,0.719,2.906,423.333,0.166,0.683,4.585,4.173,777.283,0.02,446.46,1427.868,139.77,582.208,154.853,29.865,159.881,28.256,160.887,29.663,88.689,12.569,78.935,12.167,0.422,
3/16/2009,MG_G_OUT,MG-95,GRAB,SW,6.6,-9999,1.66,12.26,0.86,-9999,50.83,-9999,1.9,17.28,-9999,2283.3,1002.7,3980.8,12994.8,748.4,3643.3,1.493,7.753,1333.58,0.416,1.125,4.757,3.782,1512.718,0.011,993.219,3065.244,309.51,1234.059,309.51,67.973,329.414,61.006,320.457,57.125,157.243,22.79,151.272,21.497,0.896,
