DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,pH,EC,TIC,TOC,TN,F-,Cl-,NO2-,Br-,NO3-,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,SamplingNote
MST,,,,,pH,uS/cm,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,(mg/L),(mg/L),
(Detection limit),,,,,,,0.000229,0.000255,0.000204,0.983,1.14,2.33,1.45,0.724,0.109,1.05,0.042,0.039,3.69,0.366,0.096,0.684,0.723,0.138,0.114,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.012,0.342,0.003,0.000291,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,0.01,0.01,
(Lab Method),,,,,PH_EC1,PH_EC1,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,SmartChem200,SmartChem200,
1/18/2011 0:00,MG_WEIR,MG-839,GRAB,SW,6.8,61.3,6.23,10.04,0.29,10.4,68.71,1.17,0.72,0.36,46.49,0.53,0.13,3.46,"4,179","1,420",274.03,"7,047.16",43.25,"1,129","7,191",6.96,1.03,0.36,1.8,235.17,0.17,0.71,10.65,0.67,0.33,0.04,28.53,637.01,3.07,0.11,0.07,0,0.23,6.74,323.11,"1,032.71",113.5,97.03,121.68,23.72,104.29,27.3,108.38,20.65,83.13,10.78,68.4,9.79,"-9,999.00",0.24,222.9,-0.0052,-0.0022,
1/18/2011 0:00,MG_S_OUT,MG-840,GRAB,SW,6.7,55.6,5.66,10.63,0.27,10.12,71.74,1.17,0.72,0.36,39.62,0.53,0.24,3.67,"3,968","1,297",350.81,"7,195.45",52.21,993,"6,455",8.48,1.17,0.31,2.42,288.24,0.16,0.66,18.98,0.38,0.37,0.1,27.49,812.4,2.3,0.11,0.04,0,0.23,7.43,416.46,"1,374.51",144.63,113.45,135.4,36.72,152.84,35.8,167.2,29.44,105.76,15.9,103.7,13.87,"-9,999.00",0.4,236.95,-0.0098,-0.0016,
1/18/2011 0:00,MG_S_SEEP,MG-841,GRAB,SW,6.2,107.6,2.93,11.72,0.34,10.85,99.39,1.17,0.72,0.36,290,0.53,0.1,6.65,"4,465","3,168",146.11,"7,632.89",72.85,"3,251","5,658",5.34,0.6,0.25,3.62,142.02,0.21,5.73,21.76,14.92,0.16,0.03,28.71,"1,450.88",2.01,0.11,0.25,0,0.27,11.44,495.55,"1,410.01",217.63,662.09,324.92,65.39,269.74,56.5,298.35,61.71,221.72,31.27,227.24,36.27,"-9,999.00",0.13,232.96,0.0427,0.0454,
1/18/2011 0:00,MG_G_OUT,MG-842,GRAB,SW,6.3,35.7,2.29,13.7,0.17,0.49,49.05,1.17,0.72,0.36,27.21,0.53,0.34,3.02,"2,689",456,393.49,"4,950.27",43.91,609,"2,475",5.05,0.47,0.23,1.11,190.66,0.19,0,4.37,15.42,0.35,0.03,18.05,"1,034.44",1.11,0.13,0.05,0,0.25,3.82,676.44,"2,079.01",219.06,126.57,244.41,42.7,220.07,45.94,195.73,40.77,129.3,15.16,105.57,16.75,"-9,999.00",0.38,101.42,-0.0063,-0.0027,
1/24/2011 0:00,MG_WEIR,MG-855,GRAB,SW,6.8,74.7,7.29,6.94,0.2,12.54,78.85,1.17,0.72,0.36,64.56,0.53,0.13,3.55,"4,860","1,759",113.41,"7,581.10",53.72,"1,132","7,353",4.21,0.56,0.06,0.71,106.2,0.08,0.48,6.14,0.41,0.2,0.26,33.51,404.16,3.97,0.12,0.05,0,0.21,5.7,176.31,558.82,61.35,72.07,59.9,13.2,47.43,16.7,55.16,9.85,53.51,7.73,54.54,7.31,"-9,999.00",0.08,172.18,0.0096,-0.0035,
1/24/2011 0:00,MG_S_OUT,MG-856,GRAB,SW,6.8,70,8.41,6.91,0.17,10.84,77.28,1.17,0.72,0.36,45.97,0.53,0.04,3.63,"4,903","1,645",142.85,"8,352.68",51.12,"1,109","8,873",4.65,0.68,0.18,0.96,135.71,0.08,0.72,9.14,1.86,0.25,0.31,32.85,434.67,2.9,0.11,0.04,0,0.23,5.78,195.91,605.06,68.16,99.38,71.83,18.37,42.85,20.1,59.18,14.9,58.71,7.49,55.91,9.84,"-9,999.00",0.17,162.23,0.0072,-0.0031,
1/24/2011 0:00,MG_G_OUT,MG-857,GRAB,SW,6.8,37.4,3.21,10.52,0.27,0.49,55.32,1.17,0.72,0.36,36.44,0.53,0.05,2.24,"3,327",492,258.43,"5,964.36",51.58,680,"2,804",4.36,0.5,0.93,5.48,206.13,0.1,0.69,4.53,10.19,0.54,0.03,19.48,906.57,1.16,0.12,0.07,0,0.26,3.59,600.96,"1,845.95",193.82,130.45,196.9,34.05,187.67,45.12,192.8,38.97,110.55,15.69,101.53,14.77,"-9,999.00",0.34,100.81,0.0198,-0.0037,
1/31/2011 0:00,MG_WEIR,MG-868,GRAB,SW,6.9,78.6,7.68,5.51,0,9.84,64.87,1.17,0.72,0.36,62.76,0.53,0.02,2.78,"5,522","1,941",42.86,"8,596.64",41.64,"1,176","8,032",2.42,0.48,0,0.03,48.63,0.03,0.51,4.66,0.61,0.15,0.33,35.46,227.96,4.61,0.11,0.04,0,0.19,5.32,81.25,178.31,30.29,90.88,28.17,4.43,1.21,9.28,18.24,5.56,32.83,5.21,32.12,5.08,"-9,999.00",68.18,181.35,-0.0143,-0.0031,
1/31/2011 0:00,MG_S_OUT,MG-869,GRAB,SW,7,74.1,7.66,131.98,4.54,8.81,64.85,1.17,0.72,0.36,42.28,0.53,0.02,2.85,"5,665","1,734",49.82,"8,283.30",47.45,"1,388","9,313",2.57,0.53,0.02,0.05,48.48,0.04,0.42,4.83,1.27,0.22,0.12,35.27,227.94,3.24,0.11,0.07,0,0.22,5.64,82.2,186.69,28.78,91.18,28.47,7.69,8.08,10.42,20.94,4.53,33.31,3.96,31.56,5.01,"-9,999.00",0.69,141.3,0.0142,-0.0037,
