DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,pH,EC,DO,Temp,TIC,TOC,TN,F-,Cl-,NO2-,Br-,NO3-,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,FI,HIX,UVA254,UVA280,SUVA254,SUVA280,SamplingNote
MST,,,,,pH,uS/cm,%,degC,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,(mg/L),(mg/L),nm/nm,nm/nm,au,au,au,au,
(Detection limit),,,,,,,,,0.0002,0.0003,0.0002,2.37,0.82,3.34,1.9,0.51,0.84,1.45,0.00424,2.26495,0.75816,0.04031,0.00424,0.66,3.26683,0.14425,0.42426,0.01061,0.15274,0.12304,0.00212,0.17607,0.12516,0.00636,0.00212,0.01485,0.00849,0.27153,0.01273,0.76368,0.07637,0.01273,0.03818,0.17819,0.00636,0.01909,2.10011,4.5184,0.36062,0.67882,0.19092,0.97581,0.78489,0.04243,0.29689,0.04243,0.29689,0.0212,0.063,0.0212,0.06576,0.00212,0.13649,0.01,0.01,,,,,,,
(Lab Method),,,,,pH_EC1,pH_EC1,OxyTem,OxyTem,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,UV_Vis,UV_Vis,
1/4/2012 16:45,MG_WEIR,WEIR-2063,GRAB_Auto,SW,-9999,-9999,-9999,-9999,3.04,10.96,0.24,"-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00",0.002,0.44,"3,904.95","1,278.03",255.5,"4,660.00",1.63,832.81,"5,424.91",3.71,0.08,0.06,2.81,180.33,0.35,0,11.32,4.47,0,6.5,27.76,852.16,0.04,0.01,0.02,0.09,0,6.69,330.72,"1,000.69",114.85,69.82,134.59,33.47,165.96,28.66,163.76,32.47,95.81,12.73,89.09,14.73,0.03,0.2,259.71,"-9,999.00","-9,999.00",-9999,-9999,-9999,-9999,-9999,-9999,
1/4/2012 14:00,MG_GOUT,GOUT-1114,GRAB,SW,-9999,-9999,-9999,-9999,1.1,11.89,0.28,"-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00",0.002,1.13,"2,859.70",480.06,287.81,"2,940.00",1.63,539.51,"2,200.37",3.84,0.08,0.06,1.56,138.85,0.18,0,4.24,5.05,0,4.55,17.01,"1,055.18",0.04,0.01,0.02,0.09,0,3.65,544.55,"1,729.78",173.73,0.34,195.58,38.95,209.97,36.84,190.64,36.64,103.27,13.79,108.61,14.7,0.03,0.31,80.77,"-9,999.00","-9,999.00",-9999,-9999,-9999,-9999,-9999,-9999,
1/4/2012 16:30,MG_SOUT,SOUT-1240,GRAB,SW,-9999,-9999,-9999,-9999,2.82,11.32,0.25,"-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00",0.002,0.48,"3,633.23","1,139.44",265.2,"3,600.00",1.63,780.59,"5,212.89",3.84,0.08,0.06,2.96,183.19,0.33,0,9.97,5.28,0,6.16,26.83,885.19,0.04,0.01,0.02,0.09,0,6.97,344.23,"1,010.94",120.08,107.39,133.95,32.7,160.58,29.26,165.44,30.88,95.78,13.26,98.11,14.98,0.03,0.18,236.04,"-9,999.00","-9,999.00",-9999,-9999,-9999,-9999,-9999,-9999,
1/4/2012 16:05,MG_S_SEEP,SSEEP-1179,GRAB,SW,-9999,-9999,-9999,-9999,2.43,8.17,0.26,"-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00","-9,999.00",0.002,2.03,"4,090.55","2,412.38",291.96,"5,300.00",1.63,"1,937.78","3,890.20",21.8,0.08,0.06,7.18,232.76,0.81,5.12,36.67,10.78,0,8.49,23.98,"3,028.91",0.04,0.01,0.02,0.09,0,10.03,876.07,"2,256.40",368.89,"1,199.27",524.14,127.75,565.58,93.03,569.39,116.81,373.91,54.59,390.27,61.62,0.03,0.13,337.32,"-9,999.00","-9,999.00",-9999,-9999,-9999,-9999,-9999,-9999,
1/9/2012 13:50,MG_S_SEEP,SSEEP-1180,GRAB,SW,5.27,72.4,-9999,-9999,2.44,8.04,0.34,11.06,84.24,1.67,0.95,0.26,232.68,0.73,0.002,1.43,"4,675.71","2,728.50",184.94,"6,240.00",1.63,"1,946.01","5,351.04",3.87,0.08,0.06,3.96,187.96,0.7,5,35.94,6.52,0,6.92,25.34,"2,763.33",0.04,0.01,0.02,0.09,0,9.33,655.06,"1,798.28",314.31,"1,161.39",487.95,110.9,473.17,83.15,505.15,108.99,332.41,54.4,358.85,58.52,0.03,0.06,302.79,"-9,999.00","-9,999.00",-9999,-9999,-9999,-9999,-9999,-9999,
1/9/2012 12:05,MG_GOUT,GOUT-1115,GRAB,SW,5.99,36,-9999,-9999,1.56,10.08,0.25,1.19,51.16,1.67,0.95,0.26,43.89,0.73,0.002,1.13,"3,228.31",590.22,270.37,"3,620.00",1.63,494.79,"2,288.86",2.82,0.08,0.06,1.83,112.12,0.11,0,4.35,3.38,0,4.77,19.93,933.81,0.04,0.01,0.02,0.09,0,4.56,439.21,"1,420.80",144.83,0.34,169.57,30.95,176.89,31.25,177.69,34.96,92.75,12.72,96.06,14.22,0.03,0.21,85.18,"-9,999.00","-9,999.00",-9999,-9999,-9999,-9999,-9999,-9999,
1/9/2012 14:30,MG_WEIR,WEIR-2064,GRAB_Auto,SW,6.5,60.7,-9999,-9999,4.21,8.61,0.21,13.79,64.99,1.67,0.95,0.26,57.51,0.73,0.002,0.29,"4,412.91","1,444.35",175.08,"5,640.00",1.63,865.7,"5,972.77",3.22,0.08,0.06,2.35,117.04,0.29,0,9.96,3.11,0,6.57,30.12,627.81,0.04,0.01,0.02,0.09,0,5.97,222.68,716.09,75.56,11.28,96.38,20.22,104.69,18.62,107.49,21.32,61.65,9.51,63.45,10.11,0.03,0.17,215.32,"-9,999.00","-9,999.00",-9999,-9999,-9999,-9999,-9999,-9999,
