DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pH,Temp,EC,DO,Alkalinity,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Ca,Mg,Na,K,Sr,Si,B,Be9,Al27,Si28,P31,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,d13C-DIC,dD,d18O,NH4-N,Ortho-P,FI,HIX,SUVA254,SamplingNote
MST,,,,,,pH,pH,degC,uS/cm,%,meq/kg,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,‰,‰,‰,mg/L,mg/L,nm/nm,nm/nm,au,
(Detection limit),,,,,,,,,,,0.2,0.00023,0.00026,0.0002,0.11,2.5,0.13,0.16,0.25,2.5,0.22,0.14,0.04,0.015,0.012,0.006,0.024,0.004,0.042,0.096,0.684,0.723,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.342,0.003,0.0003,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,,0.4,0.1,0.01,0.01,,,,
(Lab Method),,,,,,PH_EC1,PH_EC2,OxyTem,PH_EC1,OxyTem,GA_titration,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ThermoQuest,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,
3/14/2011 12:00,FLUME_HG,JEMEZ_S198,GRAB,Grab,Surface water,-9999,7.1,-9999,-9999,-9999,0.14,2.39286,3.858,0.158,0.1186,1.7899,0.0634,0.08,0.0538,5.0855,0.5198,3.968,0.435,1.942,1.13,0.0175,8.989,0.0033,0.05,67.4,8989.2579,6.91,0.52,0.245,0.0249,2.17,60.6,0.0447,0.235,0.779,0.998,0.0535,0.2165,464,0.0015,0.1519,0.003,0.046,0.01,7.26,353,672,91.3,183,93.2,13,145.5,14.7,87.6,18.1,55.3,7,44.9,7.25,0.234,0.06,34.9,-9999,-90.5,-12.7,0.02,0.01,-9999,-9999,-9999,"flumes covered with ice; used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,FLUME_LJ,JEMEZ_S199,GRAB,Grab,Surface water,6.8,7.2,0.4,-9999,53.3,0.4,4.8759,5.864,0.285,0.2251,2.0907,0.065,0.08,0.4836,5.3972,0.5846,6.738,0.774,3.249,2.988,0.0327,9.325,0.0039,0.05,88,9325.2798,20.6,1.46,0.575,0.0935,30.7,165.248,0.166,0.535,1.19,2.65,0.212,0.1827,367,0.24,0.0041,0.003,0.061,0.01,21.7,367,696,99,173,88.9,19.9,136.5,14,84.5,16.1,48,7.18,43.7,7.46,0.234,0.09,58.5,-9999,-97.2,-13.7,0.026,0.023,-9999,-9999,-9999,"flumes covered with ice; used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,FLUME_UJ,JEMEZ_S200,GRAB,Grab,Surface water,7.6,7.2,1.3,-9999,58.7,0.4,5.01198,4.436,0.265,0.1821,1.7683,0.0558,0.08,0.0683,5.1543,0.5797,7.925,0.765,3.483,2.215,0.03,14.516,0.0035,0.06,50.4,14515.9769,17.7,0.72,0.447,0.0556,3.02,143.6998,0.0794,0.361,0.684,1.8,0.171,0.1418,356,0.17,0.0029,0.003,0.06,0.0015,13,282,461,76,199,75,14.1,108.5,13.1,76.4,14.6,46.8,7.3,44.2,7.28,0.234,0.06,52.8,-9999,-90.8,-12.8,0.025,0.025,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/13/2011 0:00,FLUME_LLJ,JEMEZ_S201,GRAB,Grab,Surface water,6.9,6.4,4.6,-9999,-9999,-0.21,3.53358,2.2,0.173,0.1507,1.0449,0.065,0.08,0.125,3.3014,0.5259,5.443,0.367,2.056,1.059,0.0221,9.051,0.0029,0.02,50.3,9050.7831,26.7,0.89,0.293,0.0513,0.777,31,0.0481,0.52,0.447,1.7,0.0953,0.092,125,0.04,0.0026,0.003,0.049,0.0015,6.2,114,281,29.1,12,25.1,5.88,49.8,4.86,28.1,6.31,19.8,3.69,17.7,4.35,0.234,0.01,10.5,-9999,-89.8,-12.9,0.024,0.035,-9999,-9999,-9999,"doubts about temperature recorded; used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,FLUME_UR,JEMEZ_S202,GRAB,Grab,Surface water,7.2,7.3,10,-9999,79.1,0.46,6.00486,3.667,0.323,0.2599,3.3617,0.065,0.08,0.4304,16.7526,0.6575,13.355,0.783,4.634,1.884,0.0644,11.695,0.0073,0.02,22.7,11695.3676,16.1,0.62,0.279,0.0589,3.78,45,0.0968,0.466,0.49,1.43,0.107,0.102,99.9,0.05,0.0006,0.003,0.026,0.0015,14.2,96.3,165,25.6,54.6,22.3,7.79,33.7,3.83,23.1,4.91,14.2,2.62,15.2,3.2,0.234,0.339,20.3,-9999,-86.5,-12.3,0.017,0.023,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,FLUME_LJ,JEMEZ_S203,GRAB,Grab,Surface water,7.1,7.4,0.9,-9999,81.5,0.44,5.31438,3.505,0.265,0.2403,2.7298,0.065,0.08,0.125,10.3204,0.6086,10.039,0.723,5.146,1.814,0.0413,11.979,0.0105,0.02,35.8,11979.2644,33.1,0.72,0.379,0.0583,2.23,41.5,0.0769,0.429,1.22,2.6,0.425,0.1125,99.8,0.27,0.653,0.003,0.025,0.01,13.6,118,217,30.2,41.5,27.8,6.88,41.3,4.2,22.6,4.74,14.5,2.49,14,2.99,0.234,0.02,14.9,-9999,-87,-12.5,0.031,0.04,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,FLUME_RM,JEMEZ_S204,GRAB,Grab,Surface water,6.9,7.4,8.1,-9999,72.9,0.33,4.0611,2.198,0.159,0.31,1.0849,0.065,0.0375,0.125,3.1989,0.7346,4.893,0.242,3.939,0.912,0.0197,13.035,0.0038,0.05,74.6,13035.0445,199,1.67,0.736,0.12,0.839,41.6,0.0395,0.244,1.72,1.2,1.89,0.1262,114,0.85,0.008,0.003,0.032,0.04,4.3,136,302,29.4,11,23.1,4.19,46.7,4.23,23.2,4.84,15.3,2.36,13.7,2.87,0.234,0.02,13.3,-9999,-81.4,-11.9,0.03,0.239,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
