DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pHlab,Temp,EC,DO,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,SamplingNote
MST,,,,,,pH,pH,degC,uS/cm,%,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,
(Detection limit),,,,,,,,,,,0.05,0.1,0.05,5,5,5,5,5,5,5,0.1,0.1,0.1,0.1,0.1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.1,0.1,0.001,
(Lab Method),,,,,,PH_EC1,PH_EC2,OxyTem,PH_EC1,OxyTem,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,
2/22/2013 10:15,FLUME_UR,JEMEZ_s954,GRAB,Grab,Surface water,6.55,-9999,0.8,-9999,65.2,6.68,1.57,0.56,5,41.89,5,5,26.93,100.99,5,0.02,60.73,5369,836,23.33,13297,102.89,1218.33,8294.44,0.59,0.17,1.62,0.5,248,0.35,0.35,0.26,1.64,0.09,11.67,55.23,48.4,0.28,0.01,0.01,0.39,0.32,11.15,28.8,60.5,12.2,42.7,4.46,5.98,11.33,6.5,12.3,4.8,8.5,8.48,5.9,2.85,1.44,14.31,169.49,Stream covered with snow/ice - Sediment sample taken; filtered with cellulose filters; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
2/22/2013 11:00,FLUME_LR,JEMEZ_s955,GRAB,Grab,Surface water,6.76,-9999,0.1,-9999,68.7,5.97,1.38,0.35,5,50.7,5,5,13.09,66.13,5,0.07,22.92,5498,813,44.77,14247,111.07,1088.72,6370.23,1.11,0.59,0.71,0.51,366,0.19,0.27,0.27,1.08,0.51,17.63,37.29,81,0.54,0.01,0.01,0.33,0.29,12.86,79.8,175,23,89.3,12.6,4.3,19.7,4.2,13,3.7,9.2,9.18,8.2,2.77,0.97,9.64,200.4,Stream covered with snow/ice - Sediment sample taken; filtered with cellulose filters; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
2/22/2013 12:00,FLUME_RM,JEMEZ_s956,GRAB,Grab,Surface water,6.86,-9999,1.1,-9999,66.2,5.05,0.77,0.39,10.03,23.38,5,5,18.56,35.27,5,0.13,1.7,5085,500,42.41,17169,306.42,749.73,4290.75,0.83,0.88,1.16,0.18,208,0.51,0.2,0.2,0.75,1.45,30.04,23.32,52.5,1.1,0.01,0.01,0.27,0.24,3.49,59.8,144,14,48.6,9.25,3.68,10.84,3.3,8.8,1.7,3.9,3.88,3.69,1.98,0.68,6.87,115.58,Stream covered with snow/ice - Sediment sample taken; filtered with cellulose filters; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
2/25/2013 11:15,FLUME_LJ,JEMEZ_s957,GRAB,Grab,Surface water,-9999,-9999,0.1,-9999,-9999,7.07,2.84,0.44,5,29.08,5,5,12.5,42.11,5,0.02,1.21,5418,1052,72.24,18365,98.16,1547.94,5677.84,1.41,0.84,0.86,3.79,826,0.48,0.35,0.44,1.1,0.46,0.06,35.48,154,0.53,0.01,0.01,0.21,0.22,22.79,136,255,33.6,144,29.5,10.52,32.9,7.7,31.4,5,20.7,20.68,13.5,2.72,0.55,5.5,334.96,Stream covered with snow/ice - Sediment sample taken; filtered with cellulose filters; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
2/25/2013 12:15,FLUME_ULJ,JEMEZ_s958,GRAB,Grab,Surface water,-9999,-9999,1,-9999,-9999,3.44,0.8,0.26,5,15.38,5,5,13.46,28.86,5,0.08,0.36,2652,447,60.44,10472,102.05,652.73,3095.45,0.84,0.32,1.29,0.62,239,0.21,0.33,0.25,0.71,0.09,23.37,19.03,114,0.18,0.01,0.01,0.23,0.29,5.55,71.8,308,17.3,78.6,6.83,4.83,25.8,3.4,13.3,2.4,11.2,11.18,3.39,2.29,0.39,3.89,129.17,Stream covered with snow/ice - Sediment sample taken; filtered with cellulose filters; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
2/25/2013 13:00,FLUME_LLJ,JEMEZ_s959,GRAB,Grab,Surface water,-9999,-9999,1,-9999,-9999,3.8,0.88,0.39,5,15.59,5,5,16.17,31.85,5,0.01,0.53,2671,496,47.2,10487,90.29,684,3399.4,0.46,0.67,0.61,0.45,195,0.23,0.22,0.21,1.23,0.01,10.64,20.8,75,0.18,0.01,0.01,0.23,0.17,5.62,53,217,13.2,59.8,5.96,1.1,13.98,2.8,17.4,2.1,10.2,10.18,5.9,0.51,0.36,3.6,102,Stream covered with snow/ice - Sediment sample taken; filtered with cellulose filters; 2-500mL amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
3/4/2013 12:00,FLUME_UR,JEMEZ_s960,GRAB,Grab,Surface water,6.56,-9999,1.6,-9999,68.8,6.49,1.98,0.5,5,48.04,5,5,22.74,104.1,5,0.02,32.81,5162,807,19.55,13656,91.01,1230.82,7967.05,0.41,0.36,0.26,1.92,310,0.06,0.41,0.18,0.91,0.17,1.45,54.41,53.7,0.28,0.01,0.01,0.16,0.18,10.89,38.8,76.6,11.63,48.3,9.73,3.88,16.68,3.1,11.6,1.9,5.5,5.48,4.2,2.07,0.33,3.24,115.95,Stream covered with snow/ice - Sediment sample taken; 1 - 1L amber;1-250mL HDPE;1-1L HDPE; Sampled by Scott; 
