DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pH,Temp,EC,DO,Alkalinity,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Ca,Mg,Na,K,Sr,Si,B,Fe,Al,Ba,Be9,Al27,Si28,P31,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,Hg202,Sr isotopes,d13C-DIC,dD,d18O,NH4-N,Ortho-P,SamplingNote
MST,,,,,,pH,pH,degC,uS/cm,%,meq/kg,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,ng/L,-,‰,‰,‰,mg/L,mg/L,
(Detection limit),,,,,,,,,,,0.2,0.00023,0.00026,0.0002,0.11,2.5,0.13,0.16,0.25,2.5,0.22,0.14,0.04,0.015,0.012,0.006,0.024,0.004,0.004,0.004,0.004,0.042,0.096,0.684,0.723,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.342,0.003,0.0003,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,,,,0.4,0.1,0.01,0.01,
(Lab Method),,,,,,PH_EC1,PH_EC2,OxyTem,PH_EC1,OxyTem,GA_titration,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ThermoQuest,ThermoQuest,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,
9/26/2005 16:07,FLUME_UR,JEMEZ_S1,GRAB,Grab,Surface water,7.3,-9999,9.4,82,44.9,-9999,7.636,2.046,0.2197,0.0821,1.4391,0.065,0.08,0.0144,8.7834,0.0965,10.5447,0.828,5.0803,1.7627,0.0536,12.9328,0.0252,0.0697,0.0323,0.002,0.019,27.3,12300,36.2,0.442,0.397,0.047,11.74,80.9331,0.826,0.46,0.277,3.746,0.29,0.026,80.6,0.0848,0.01,0.003,0.0015,0.01,11.6,70.9,145,17.1,64,15.6,2.27,14.1,1.95,12.2,3.11,4.69,1.25,6.34,1.15,-9999,0.03,6.62,0,-9999,-9999,-81.89,-11.94,0.019,0.031,Upper Redondo Flume
9/26/2005 17:29,FLUME_UJ,JEMEZ_S2,GRAB,Grab,Surface water,7.4,-9999,11.3,59,37.9,-9999,5.833,2.678,0.2453,0.0346,0.6267,0.065,0.08,0.125,3.4387,0.0756,6.6063,0.8901,3.7051,1.9052,0.026,15.1623,0.0169,0.0578,0.0553,0.002,0.034,51.2,14700,24.6,0.472,0.394,0.052,1.13,65.0546,0.557,0.37,0.367,2.443,0.31,0.0285,204,0.197,0.073,0.003,0.0015,0.013,10.4,122,232,30.8,134,31.5,4.98,25.9,5.29,32.8,6.41,18.1,2.88,19.7,3.75,-9999,0.05,20.6,0.994,-9999,-9999,-83.29,-11.95,0.005,0.02,
9/26/2005 18:00,FLUME_LJ,JEMEZ_S3,GRAB,Grab,Surface water,7.7,-9999,12.3,60,32.4,-9999,5.84,3.33,0.1883,0.1279,0.923,0.065,0.08,0.125,3.6387,0.0354,6.2731,0.8936,4.6605,2.0198,0.0303,12.0022,0.014,0.0985,0.0998,0.0111,0.009,94.4,11600,13.7,0.524,0.86,0.083,5.72,100.728,0.58,0.42,0.494,1.52,0.4,0.162,207,0.334,0.01,0.01,0.0015,0.0265,15,161,323,42,166,40.2,6.93,35.4,6.68,32.1,6.91,17.1,2.44,15.7,2.91,-9999,0.07,57.9,1.92,-9999,-9999,-80.76,-11.61,0.026,0.007,
9/26/2005 18:24,FLUME_HG,JEMEZ_S4,GRAB,Grab,Surface water,7.1,-9999,9.1,53,34,-9999,5.036,3.198,0.1658,0.0451,0.8876,0.065,0.08,0.0174,4.3837,0.0343,5.8893,0.9836,3.1988,1.6917,0.0268,11.3551,0.0145,0.0622,0.0778,0.01,0.028,60.6,11000,12.7,0.61,0.217,0.03,1.82,62.91,0.486,0.39,0.94,2.591,0.14,0.06,336,0.0015,0.006,0.01,0.0015,0.01,12.6,195,477,50.9,239,48.4,5.48,49.5,8.62,47.7,10.8,28.7,4.3,25.4,4.59,-9999,0.07,13.1,0.622,-9999,-9999,-84.23,-11.78,0.012,0.01,
9/26/2005 18:50,FLUME_LLJ,JEMEZ_S5,GRAB,Grab,Surface water,6.9,-9999,9.1,50,37.1,-9999,4.885,1.595,0.1536,0.0462,0.5974,0.065,0.08,0.0354,3.0179,0.0581,6.0485,0.6542,2.9458,1.2999,0.0247,9.7391,0.002,0.0193,0.033,0.002,0.024,43.4,9580,27.4,0.341,0.239,0.032,0.91,30.5144,0.493,0.23,0.177,0.75,0.21,0.097,93.3,0.0015,0.006,0.003,0.0015,0.01,9.1,62.8,167,15,63.6,17.8,2.39,10.1,1.42,10.2,2.99,5.45,1.38,8.02,1.04,-9999,0.03,3.27,2.11,-9999,-9999,-86.67,-12.54,0.003,0.023,
9/26/2005 19:50,FLUME_RM,JEMEZ_S6,GRAB,Grab,Surface water,7.1,-9999,11.6,57,28.5,-9999,5.842,0.7239,0.2916,0.1957,0.6707,0.065,0.08,0.9509,3.0943,0.463,6.0816,0.5492,5.2915,1.0145,0.0228,17.1435,0.013,0.0119,0.0215,0.002,0.032,21.6,17000,247,0.293,0.456,0.029,0.288,22.9238,0.472,0.22,0.134,0.71,1.79,0.203,51.5,0.626,0.015,0.003,0.0015,0.0626,5.74,55.2,121,12,40.9,9.31,0.202,7.09,1.03,5.66,1.62,1.43,0.132,5.09,0.88,-9999,0.03,0.103,0,-9999,-9999,-79.49,-11.76,0.003,0.224,
9/26/2005 20:20,FLUME_LR,JEMEZ_S7,GRAB,Grab,Surface water,7.4,-9999,9.9,76,45.4,-9999,7.626,1.962,0.1083,0.105,1.5263,0.065,0.08,0.125,4.646,0.2139,9.1409,0.8918,5.2762,1.7713,0.0386,12.5371,0.0197,0.0386,0.0244,0.0103,0.021,25.9,12000,66.8,0.363,0.4,0.028,1.49,53.1084,0.718,0.41,0.287,1.37,0.71,0.0285,62.5,0.323,0.015,0.003,0.0015,0.0225,14.4,55.5,94.1,13.8,52.9,9.69,2.4,9.03,1.44,8.66,1.47,2.51,0.828,7.12,0.496,-9999,0.03,3.84,1.64,-9999,-9999,-79.95,-11.54,0.037,0.061,
