,SampleCode (na),location (na),record count (na),SiteCode (na),sampling_date_JD (na),evaporated (na),bad_filters  (na),storage_time_days (na),Li7 (nM ),B11 (nM ),Ca43 (nM ),Rb85 (nM ),Sr88 (nM ),In115 (nM ),Na23 (nM ),Mg25 (nM ),Al27 (nM ),Si28 (nM ),P31 (nM ),Ca44 (nM ),Mn55 (nM ),Fe56 (nM ),Fe57 (nM ),Co59 (nM ),Ni60 (nM ),Cu63 (nM ),Cu65 (nM ),Zn64 (nM ),Zn66 (nM ),Rb85 (nM ).1,Sr88 (nM ).1,Mo98 (nM ),In115 (nM ).1,Ba138 (nM),Sample id (na),descp no (na),date (na),time (na),year (na),month (na),day (na),hour (na),minute (na),filter pore-size (na),method  (na),method No. (na),DateTime
0,130.0,0.0,1.0,ERCZO_Elder_Creek_,292.5208333,1.0,0.0,1438.479167,0.0,0.0,516110.8,0.0,2217.1,-4.28,500010.95,297152.42,0.0,269620.11,0.0,580935.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.75,0.0,0.0,0.0,130K,0.0,10/19/2008,12:30,2008.0,10.0,19.0,12.0,30.0,0.45,Ref,9,2008-10-19 12:30:00
1,131.0,0.0,2.0,ERCZO_Elder_Creek_,293.5208333,1.0,0.0,1437.479167,0.0,0.0,493822.23,0.0,1966.91,-4.03,444524.62,264293.03,0.0,236826.73,0.0,494981.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2266.55,0.0,0.0,0.0,131K,0.0,10/20/2008,12:30,2008.0,10.0,20.0,12.0,30.0,0.45,Ref,9,2008-10-20 12:30:00
2,132.0,0.0,3.0,ERCZO_Elder_Creek_,294.5208333,1.0,0.0,1436.479167,0.0,0.0,515410.15,0.0,2199.12,-3.77,482049.72,280156.35,0.0,248455.0,0.0,528528.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2447.78,0.0,0.0,0.0,132K,0.0,10/21/2008,12:30,2008.0,10.0,21.0,12.0,30.0,0.45,Ref,9,2008-10-21 12:30:00
3,133.0,0.0,4.0,ERCZO_Elder_Creek_,295.5208333,1.0,0.0,1435.479167,0.0,0.0,568741.68,0.0,2459.1,-3.52,519314.99,313479.88,0.0,284869.11,0.0,595076.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2783.13,0.0,0.0,0.0,133K,0.0,10/22/2008,12:30,2008.0,10.0,22.0,12.0,30.0,0.45,Ref,9,2008-10-22 12:30:00
4,134.0,0.0,5.0,ERCZO_Elder_Creek_,296.5208333,1.0,0.0,1434.479167,0.0,0.0,556234.45,0.0,2329.84,-3.27,495257.46,288453.44,0.0,262081.7,0.0,571882.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639.67,0.0,0.0,0.0,134K,0.0,10/23/2008,12:30,2008.0,10.0,23.0,12.0,30.0,0.45,Ref,9,2008-10-23 12:30:00
5,135.0,0.0,6.0,ERCZO_Elder_Creek_,297.5208333,1.0,0.0,1433.479167,0.0,0.0,432800.29,0.0,1807.85,-3.02,427481.68,250739.0,0.0,228723.46,0.0,490181.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212.17,0.0,0.0,0.0,135K,0.0,10/24/2008,12:30,2008.0,10.0,24.0,12.0,30.0,0.45,Ref,9,2008-10-24 12:30:00
6,136.0,0.0,7.0,ERCZO_Elder_Creek_,298.5208333,1.0,0.0,1432.479167,0.0,0.0,456591.9,0.0,1889.75,-2.77,436822.7,259555.35,0.0,233411.06,0.0,488725.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2245.23,0.0,0.0,0.0,136K,0.0,10/25/2008,12:30,2008.0,10.0,25.0,12.0,30.0,0.45,Ref,9,2008-10-25 12:30:00
7,137.0,0.0,8.0,ERCZO_Elder_Creek_,299.5208333,1.0,0.0,1431.479167,0.0,0.0,410075.08,0.0,1764.11,-2.52,390401.25,229456.86,0.0,208872.42,0.0,442595.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048.86,0.0,0.0,0.0,137K,0.0,10/26/2008,12:30,2008.0,10.0,26.0,12.0,30.0,0.45,Ref,9,2008-10-26 12:30:00
8,138.0,0.0,9.0,ERCZO_Elder_Creek_,300.5208333,1.0,0.0,1430.479167,0.0,0.0,523155.45,0.0,2222.85,-2.26,487576.14,283887.43,0.0,261873.56,0.0,547606.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2523.51,0.0,0.0,0.0,138K,0.0,10/27/2008,12:30,2008.0,10.0,27.0,12.0,30.0,0.45,Ref,9,2008-10-27 12:30:00
9,157.0,0.0,10.0,ERCZO_Elder_Creek_,300.7083333,0.0,0.0,889.2916667000002,70.22,3242.31,432911.13,2.93,2166.76,0.0,417197.81,248800.84,6.94,,858.7,450717.55,-0.28,9.98,6.78,0.14,3.42,5.02,5.07,52.78,57.63,0.0,2307.73,0.0,10.25,174.63,157K,0.0,10/27/2008,17:00,2008.0,10.0,27.0,17.0,0.0,0.45,Control,1,2008-10-27 17:00:00
