SiteCode,SampleCode,Sample_Date,DateTime,Gage_Ht,Temperature  (C),pH (pH),EC (uS/cm),Cl (mg/L),NO3-N (ug N/L),SO4 (mg/L),Na (mg/L),K (mg/L),Mg (mg/L),Ca (mg/L),NH4-N (ug/L),PO4 (mg/L),dissolved org C (mg/L),dissolved inorganic C (mg/L),total dissolved N (mg/L),total dissolved P (ug P/L),SiO2 (mg/L),dissolved org N (mg/L),total suspended sediment (mg/L)
QS,100010001,1/6/1983,1/6/1983 0:00,3.9,-9999,7.15,37.8,4.9,40,1.67,3.9,0.22,1.24,1.76,5.1,-9999,-9999,-9999,-9999,-9999,3.4,-9999,-9999
QT,100020001,5/24/1983,5/24/1983 0:00,-9999,-9999,7.64,80.8,7.5,40,1.29,6.51,0.28,4.05,5.23,2.5,-9999,-9999,-9999,-9999,-9999,19.3,-9999,-9999
RI,100030001,5/24/1983,5/24/1983 0:00,1.04,-9999,6.67,37.5,3.5,60,-9999,3.38,0.41,0.76,1.65,7.5,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999
QS,100010002,6/3/1983,6/3/1983 0:00,2.54,-9999,7.63,52.8,6,64,0.97,4.96,0.23,1.97,2.76,6.7,-9999,-9999,-9999,-9999,-9999,7.8,-9999,0.6
RI,100030002,6/3/1983,6/3/1983 0:00,1.04,-9999,7.01,65.7,5.3,75,-9999,5.68,0.56,1.62,3.93,2.5,-9999,-9999,-9999,-9999,-9999,14.8,-9999,1.2
QT,100020002,6/3/1983,6/3/1983 0:00,1.22,-9999,7.99,114.9,7.7,70,1.4,8.09,0.29,5.67,7.13,2.5,-9999,-9999,7,-9999,-9999,23.4,-9999,2
QT,100020003,6/8/1983,6/8/1983 0:00,1.23,-9999,8.02,118,-9999,80,-9999,8.4,0.31,6.37,7.2,22.9,-9999,-9999,-9999,-9999,-9999,23.1,-9999,4.1
QS,100010003,6/8/1983,6/8/1983 0:00,2.66,-9999,7.51,48.8,5.8,40,1.35,4.61,0.26,1.71,2.44,15.2,-9999,-9999,-9999,-9999,-9999,7.6,-9999,0.2
RI,100030003,6/8/1983,6/8/1983 0:00,1.05,-9999,6.93,63.2,5.4,80,-9999,5.44,0.57,1.6,-9999,10.8,-9999,-9999,-9999,-9999,-9999,9.9,-9999,1
QS,100010004,6/13/1983,6/13/1983 9:23,2.55,21,7.66,55.1,6,70,1.27,4.92,0.28,1.9,2.68,27.3,-9999,-9999,-9999,-9999,-9999,9.2,-9999,3.6
QT,100020004,6/13/1983,6/13/1983 0:00,1.27,22,7.96,113.8,7.7,90,-9999,8.57,0.3,5.68,7.58,13.1,-9999,-9999,-9999,-9999,-9999,21.7,-9999,6
RI,100030004,6/13/1983,6/13/1983 0:00,-9999,20.9,7.01,56.8,5.3,80,-9999,5.26,0.55,1.25,-9999,12.4,-9999,-9999,-9999,-9999,-9999,14.6,-9999,12.8
QT,100020005,6/16/1983,6/16/1983 0:00,1.38,22.9,7.45,64.8,6.7,90,-9999,5.35,0.29,2.85,3.8,34.5,-9999,-9999,-9999,-9999,-9999,14.6,-9999,14.5
RI,100030005,6/16/1983,6/16/1983 0:00,2.1,21,6.12,26,3.4,85,-9999,2.74,0.43,0.44,1.01,39.2,-9999,-9999,-9999,-9999,-9999,0.3,-9999,226
QS,100010005,6/16/1983,6/16/1983 9:15,4.5,21.7,6.96,34.2,4.2,40,0.51,3.22,0.23,-9999,1.09,32,-9999,5.26,-9999,-9999,-9999,0.5,-9999,10.8
RI,100030006,6/20/1983,6/20/1983 0:00,1.08,20,6.72,59.9,5.5,81,-9999,5.29,0.55,1.56,3.53,20.6,-9999,-9999,-9999,-9999,-9999,13.7,-9999,1.6
QT,100020006,6/20/1983,6/20/1983 0:00,1.28,22,7.57,89.5,7.9,41,0.44,7.06,0.35,4.44,5.54,12.1,-9999,-9999,-9999,-9999,-9999,20.2,-9999,5.7
QS,100010006,6/20/1983,6/20/1983 11:27,2.74,21,7.54,47,6,42,0.81,4.66,0.23,1.74,2.11,13.8,-9999,-9999,-9999,-9999,-9999,10.8,-9999,0.9
QT,100020007,6/27/1983,6/27/1983 0:00,1.27,23,7.84,100,7.7,62,-9999,7.58,0.36,-9999,6.43,19.9,-9999,-9999,-9999,-9999,-9999,23.5,-9999,7.7
RI,100030007,6/27/1983,6/27/1983 0:00,1.17,22,7.05,60,5.5,82,-9999,5.54,0.61,1.69,3.82,19.1,-9999,1.49,-9999,-9999,-9999,20,-9999,20.8
QS,100010007,6/27/1983,6/27/1983 12:20,2.94,22,7.84,58,6.2,44,0.05,4.71,0.26,1.69,2.47,18.2,-9999,-9999,-9999,-9999,-9999,11.2,-9999,2.2
QT,100020008,7/5/1983,7/5/1983 0:00,1.38,21.5,7.83,72.2,7.1,54,0.68,5.4,0.26,2.91,3.84,28,-9999,1.66,2.1,-9999,-9999,16.3,-9999,11.5
RI,100030008,7/5/1983,7/5/1983 0:00,1.26,20.5,7.12,43,4.7,72,-9999,3.87,0.45,0.95,2.24,28.4,-9999,3.29,1.5,-9999,-9999,8.7,-9999,9
QS,100010008,7/5/1983,7/5/1983 12:35,4.08,21,8.17,36.8,5.1,33,0.84,3.35,0.23,1.13,1.49,15.2,-9999,3.04,0.9,-9999,-9999,4.6,-9999,6.1
QS,100010009,7/11/1983,7/11/1983 9:15,2.76,21,7.93,48.2,6.6,51,0.55,4.81,0.24,1.69,2.39,13.1,-9999,1.1,2.85,-9999,-9999,12.4,-9999,0.1
QT,100020009,7/11/1983,7/11/1983 0:00,1.3,22,7.7,86,7.8,47,-9999,7.27,0.27,4.5,7.11,11.6,-9999,0.73,7.9,-9999,-9999,21.8,-9999,2.5
RI,100030009,7/11/1983,7/11/1983 0:00,1.1,21,7.03,52.1,5.5,69,-9999,5.51,0.51,1.59,3.59,16.5,-9999,0.6,5.5,-9999,-9999,21.4,-9999,0.7
QT,100020010,7/21/1983,7/21/1983 0:00,1.26,-9999,7.6,107,8.1,54,1.12,7.75,0.3,4.81,6.47,16,-9999,0.83,7.75,-9999,-9999,24.3,-9999,6.5
RI,100030010,7/21/1983,7/21/1983 0:00,1.08,-9999,7.14,61,5.7,67,-9999,5.51,0.54,1.53,3.78,18.9,-9999,0.89,5.15,-9999,-9999,21.5,-9999,1.8
QS,100010010,7/21/1983,7/21/1983 10:20,2.72,-9999,8.04,55,6.3,36,1.53,3.56,0.25,1.62,2.31,14.6,-9999,1.93,2.25,-9999,-9999,10.1,-9999,0.1
QT,100020011,7/26/1983,7/26/1983 0:00,1.25,22.7,7.9,112,8,69,1.29,7.91,0.31,5.22,6.55,-9999,-9999,0.82,7.85,-9999,-9999,25,-9999,3
QS,100010011,7/26/1983,7/26/1983 9:05,2.59,21.9,8,55,6.4,49,0.85,4.8,0.26,1.85,2.44,-9999,-9999,1.53,2.25,-9999,-9999,11.8,-9999,0
