ID,SampleCode,SiteCode,DateTime,pH,EC - Electrical Conductivity ,Alkalinity,H+,NH4,Ca,Mg,Na,Cl,NO3,SO4,PO4
,,Loc,,(pH),(mS/cm),(ueq L-1),(ueq L-1),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L)
1,6.00282 SG,P300,10/27/2005 12:00,7.26,61.2,581.84,0.05,0.0099,54.114,1.15536,4.18784,1.2173,0.07192,0.33271,0.60431
1,6.00325 SG,P300,11/29/2005 13:40,6.84,59.6,551.3,0.14,0.0099,56.68,1.05168,4.06272,1.0871,0.01984,0.31213,0.38315
1,6.00283 SG,P300,12/2/2005 10:45,7,41.1,339.06,0.1,0.0099,43.136,0.708,2.86327,0.9457,0.07316,0.3234,0.52671
1,6.00284 SG,P300,12/12/2005 11:50,7.44,6.1,551.74,0.04,0.0099,45.572,1.0062,4.09469,0.94675,0.04712,0.32046,0.2134
1,6.00285 SG,P300,12/21/2005 10:22,7.21,49.3,483.64,0.06,0.0099,45.84,0.90552,3.57949,0.64155,0.0372,0.294,0.24735
1,6.00286 SG,P300,12/31/2005 10:37,6.75,25.1,222.26,0.18,0.0099,26.618,0.47496,1.76272,0.47005,0.0837,0.23079,0.43844
1,6.00287 SG,P300,1/2/2006 13:48,6.72,24.5,222.96,0.19,0.0099,27.326,0.47892,1.65669,0.3822,0.04216,0.21707,0.44911
1,6.00288 SG,P300,1/24/2006 13:09,7.25,47.5,448.9,0.06,0.0099,46.21,0.85812,3.31936,0.54495,0.0341,0.2744,0.21049
1,6.00555 SG,P300,2/6/2006 11:49,7.36,49.4,456.28,0.04,0.0099,47.598,0.82548,3.12041,0.5754,0.00992,0.20384,0.03686
1,6.00563 SG,P300,2/8/2006 17:23,7.07,50.4,501.34,0.09,0.0099,52.886,0.91632,3.33638,0.57365,0.00992,0.24157,0.23183
1,6.00565 SG,P300,2/21/2006 12:30,7,47.3,502.36,0.1,0.0099,54.524,0.92628,3.30234,0.5775,0.00992,0.23863,0.03686
1,6.00753 SI,P300,2/28/2006 0:53,6.71,22.8,237.32,0.19,0.0099,26.538,0.44436,1.5778,0.30695,0.06076,0.14406,0.33562
1,6.00754 SI,P300,2/28/2006 2:15,6.8,22.4,241.74,0.16,0.0099,27.236,0.45816,1.4536,0.29995,0.10478,0.16219,0.38315
1,6.00755 SI,P300,2/28/2006 2:42,6.8,20.7,243.32,0.16,0.0099,29.054,0.48288,1.52467,0.32585,0.09486,0.16513,0.47142
1,6.00726 SG,P300,3/1/2006 11:12,7,33.6,345.38,0.1,0.0099,42.488,0.705,2.52218,0.47985,0.00992,0.21511,0.28033
1,6.00727 SG,P300,3/1/2006 11:13,NA,NA,371.16,,0.0099,44.044,0.72276,2.56818,0.46515,0.00992,0.21511,0.13677
1,6.00728 SG,P300,3/14/2006 15:58,NA,NA,415.8,,0.0099,40.88,0.78012,2.97137,0.51625,0.00992,0.23569,0.12901
1,6.01053 SG,P300,3/29/2006 16:28,NA,NA,383.8,,0.0099,50.292,0.82644,2.85131,0.47775,0.00992,0.22442,0.11058
1,6.01018 SI,P300,4/2/2006 22:51,NA,NA,380.72,,0.0099,46.998,0.81168,2.75425,0.4571,0.00992,0.22834,0.09603
1,6.01019 SI,P300,4/4/2006 5:33,NA,NA,258.02,,0.02304,31.778,0.53424,1.61276,0.25375,0.00992,0.17836,0.27257
1,6.0102 SI,P300,4/4/2006 9:30,NA,NA,266.4,,0.02088,33.166,0.57564,1.73466,0.3199,0.00992,0.18669,0.22504
1,6.01054 SG,P300,4/17/2006 11:45,NA,NA,339.12,,0.0099,44.742,0.72576,2.46008,0.45325,0.00992,0.20825,0.14744
