DateTime,SiteCode,SampleCode,IGSN,ANALYZED MATERIAL,sample preparation,chemical treatment,Temperature ,pH,DO (%),DO,Specific Conductivity,Alkalinity ,Cl,SO4,NO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,dissolved org C
,,,,,,,C,pH,%,mg/L,µS/cm,mmol/L CaCO3,µmol/L,µmol/L,µmol/L,µmol/L,µmol/L,µmol/L,µmol/L,µmol/L,µmol/L,µmol/L,µmol/L,µmol/L,ppm
,,,,,,,1,1,1,1,1,2,3,3,3,4,4,4,4,4,4,4,4,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2014,SCO,SCO_140926,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,15.5,7.93,77.1,7.72,357.1,185.8669565,241.1904,196.7874,55.6327,3.019848301,1276.525775,0.478109052,40.12450669,570.6192142,1.172229576,118.6527799,35.25369414,6.309061858,2.21
1/21/2014,SCAL,SCAL_140121,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,0,8.63,94.8,14.92,92.7,314.6967715,414.7785614,75.64542994,6.633870968,< 0.30,178.258483,< 0.03,14.67338483,59.64204896,< 0.03,327.677251,75.64536229,n.a.,n.a.
3/13/2014,SCAL,SCAL_140313,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,0,7.12,82,12.03,122.2,n.a.,392.6177715,73.97355819,8.670967742,2.346182357,101.002994,< 0.03,18.24901529,44.40238634,< 0.03,287.3336233,60.86523055,n.a.,n.a.
3/21/2014,SCAL,SCAL_140321,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,2.8,7.39,96.1,13.13,83.4,n.a.,381.6953456,79.59504476,5.367741935,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
5/12/2014,SCAL,SCAL_140512,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,14.4,7.33,n.a.,8.13,93.5,n.a.,330.1466855,65.84009994,1.896774194,< 0.30,192.2030938,< 0.03,19.31300834,59.27175478,< 0.03,252.1966072,73.77959765,0.383474093,n.a.
6/18/2014,SCAL,SCAL_140618,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,18.3,6.71,109.3,10.31,100,n.a.,379.3991537,61.82281907,4.172580645,0.741289844,209.6332335,< 0.03,23.22880966,64.42707262,< 0.03,282.8142671,83.48584654,0.453092901,n.a.
6/25/2014,SCAL,SCAL_140625,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,17.6,6.67,83.4,8.1,112.6,n.a.,406.5133992,61.92483864,5.887096774,< 0.30,262.6946108,< 0.03,19.41275769,76.18185559,< 0.03,328.6602871,84.46857753,0.530700753,n.a.
7/2/2014,SCAL,SCAL_140702,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,18.4,7.13,95,8.91,119.8,n.a.,389.6191819,61.10035395,8.55,< 0.30,276.0129741,< 0.03,18.60964755,76.39991771,< 0.03,307.5250109,85.05251914,0.553526592,1.73
7/29/2014,SCAL,SCAL_140729,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,16.6,7.41,109,10.52,124.1,87.68907062,378.4683,62.487,10.65238,< 0.30,300.793,0.229,20.149,83.267,< 0.03,306.967,77.8,0.607,1.56
9/19/2014,SCAL,SCAL_140919,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,11.7,7.33,106,11.61,128.3,51.464,451.0606,63.22507,8.036462,< 0.30,375.83712,0.162951025,16.37667111,94.79530961,0.19294462,315.2793749,78.20900837,0.701894545,1.28
10/17/2014,SCAL,SCAL_141017,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,12.8,7.02,86,9.08,107,27.625,394.646,68.069,4.443,< 0.30,244.0491042,0.401110216,22.24393388,72.70109031,0.109213936,269.8722201,87.66957451,0.047820132,3.9
1/21/2014,SCBL,SCBL_140121,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,0.3,8.36,127,18.28,120.8,548.0250131,374.7080395,91.71143036,9.25,< 0.30,322.1082834,< 0.03,16.4049312,90.2036618,< 0.03,279.0343628,72.84671533,n.a.,n.a.
3/7/2014,SCBL,SCBL_140307,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,1.3,7.26,100.2,14.11,151.1,n.a.,521.2186178,96.86758276,7.974193548,< 0.30,412.2679641,< 0.03,21.44866745,115.3713228,0.342203939,369.0387125,74.50240342,n.a.,n.a.
3/21/2014,SCBL,SCBL_140321,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,4.2,7.33,99.6,12.9,112.5,n.a.,345.2552891,91.71767645,10.25322581,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
5/12/2014,SCBL,SCBL_140512,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,15.9,7.12,74,7.21,146.3,n.a.,299.3794076,90.08119925,2.601612903,< 0.30,423.6177645,< 0.03,22.09831705,103.5836248,< 0.03,220.8264463,75.70589283,0.851403789,n.a.
6/18/2014,SCBL,SCBL_140618,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,16.5,6.2,109,10.25,116.9,n.a.,250.719323,65.32792005,1.262903226,0.448480356,342.7919162,1.398388541,29.59997954,84.65336351,0.546070115,190.7177033,79.82909026,0.625427984,n.a.
6/25/2014,SCBL,SCBL_140625,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,21.5,2.53,92.5,8.21,177.1,n.a.,392.8857546,60.81719758,6.433870968,< 0.30,598.2759481,2.017905103,21.82720344,151.5860934,0.384069314,274.2366246,85.47623286,1.354713536,n.a.
7/2/2014,SCBL,SCBL_140702,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,22.5,7.81,108,9.32,174.5,n.a.,347.3624824,81.92067458,9.077419355,0.604151223,537.1482036,1.505819158,20.78622947,134.6471919,0.69532928,273.6233145,78.67544953,1.185802328,2.01
7/29/2014,SCBL,SCBL_140729,,stream water,filtered through 0.45 um nylon,acidified to 2% nitric acid,17.5,7.28,73.6,6.96,273.8,174.0700189,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2.98
